City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
522,yenagoa,4.9247,6.2642,76.03,90,100,3.11,NG,1667878902
523,prince george,53.9166,-122.753,6.24,60,0,13.8,CA,1667878809
524,delaware,39.0004,-75.4999,62.92,44,0,9.22,US,1667878810
525,kununurra,-15.7667,128.7333,103.98,17,86,9.22,AU,1667878903
526,watertown,42.3709,-71.1828,57.42,43,0,14.97,US,1667878903
527,oromocto,45.8351,-66.4792,49.93,46,0,11.5,CA,1667878903
528,presidencia roque saenz pena,-26.7852,-60.4388,69.01,42,100,6.58,AR,1667878904
529,tadine,-21.55,167.8833,77.99,73,83,8.1,NC,1667878904
530,arawa,-6.2132,155.5367,83.19,83,71,5.03,PG,1667878904
531,springdale,36.1867,-94.1288,62.51,71,0,10.36,US,1667878905
532,aksum,14.1245,38.7244,56.48,64,6,4.09,ET,1667878905
533,tuatapere,-46.1333,167.6833,66.06,54,65,6.29,NZ,1667878905
534,giyon,8.5333,37.9833,53.28,62,83,8.12,ET,1667878906
535,dharchula,29.85,80.5333,67.28,33,0,4.07,IN,1667878906
536,guerrero negro,27.9769,-114.0611,65.21,77,41,9.1,MX,1667878907
537,honiara,-9.4333,159.95,84.63,75,37,6.98,SB,1667878907
538,todos santos,23.45,-110.2167,72.66,71,17,4.85,MX,1667878908
539,baykit,61.67,96.37,16.41,91,93,3.96,RU,1667878908
540,gigmoto,13.7796,124.39,84.4,76,100,7.45,PH,1667878908
541,anaconda,46.1285,-112.9423,18.59,95,83,3.85,US,1667878909
542,walvis bay,-22.9575,14.5053,59.09,94,28,3.44,NA,1667878909
543,santa lucia,27.9117,-15.5407,61.92,78,20,12.66,ES,1667878814
544,barranca,-10.75,-77.7667,62.91,85,14,6.15,PE,1667878909
545,palmerston,-12.486,130.9833,94.89,57,20,14.97,AU,1667878910
546,selma,36.5708,-119.6121,54.91,97,79,4.61,US,1667878910
547,vestmannaeyjar,63.4427,-20.2734,45.45,85,100,19.66,IS,1667878905
548,mujiayingzi,42.1167,118.7833,53.04,13,1,13.24,CN,1667878911
549,mercedes,-34.6515,-59.4307,61.95,63,0,9.01,AR,1667878912
550,hobyo,5.3505,48.5268,80.56,72,30,6.04,SO,1667878912
551,porto novo,6.4965,2.6036,80.42,90,71,2.04,BJ,1667878912
552,andenes,69.3143,16.1194,39.18,81,20,17.27,NO,1667878913
553,miraflores,19.2167,-98.8083,63.25,76,4,3.27,MX,1667878914
